Gary Harris$Wraithshade Family$Thomas Morris                                    $6{Jason Phillips,Mark Cooper,Larry Stewart,Timothy Howard,Justin Young,Kevin Cooper,Jeffrey Roberts,Benjamin Carter,Steven Adams,Daniel Miller,David Morris,Justin Turner,Jason Turner}$Benjamin Bell|David Black|Robert Reed|Larry Roberts|Brian Sanchez|Jeffrey Bailey|Gary Campbell|Jonathan Turner|Charles Phillips|Brandon Scott
Stephen Hill$Ruinspire Family II$David Adams                                      $3{Nicholas Turner,Daniel Green,Mark Carter,Jeffrey Roberts,David Scott,Brandon Nelson,Brian Adams,Ryan Green,Donald Morris,Kevin Cooper}$Steven Roberts|Jeffrey Bailey|Daniel Bell|David Black|Jason Edwards
Michael Campbell$Ashwick Family$Michael Howard                                   $2{Benjamin Carter,Larry Stewart,Timothy Howard,James Cook,Ronald Roberts,Larry Roberts,Gary Campbell,Joshua Scott,Jonathan Carter,Daniel Miller,Daniel Bell,Kevin Cooper,Eric Perez}$Timothy Morgan|Thomas Morris|Ronald Mitchell|Joseph Reed|Charles Phillips|Scott Walker|Kenneth Lopez|Kenneth Evans|David Adams
Brian Sanchez$Coldspire Family$Thomas Roberts                                   $6{Jeffrey Roberts,Brian Adams,Benjamin Bell,Jason Turner,Kenneth Evans,Thomas Morris,Robert Rogers,Eric Perez,Charles Phillips,Jeffrey Bailey,Steven Adams,Paul Rogers,William Morris,Stephen Rogers,Larry Stewart,Matthew Carter,Michael Sanchez,Timothy Howard}$Jeffrey Baker|Brandon Nelson|Richard Baker|Andrew Harris|Daniel Black|Joshua Scott|Joseph Perez|Michael Howard|Michael Cooper|Joshua White|Jason Edwards|Ryan Reed|Scott Walker|Scott Cook
Daniel Black$Bloodwick Family II$Scott Walker                                     $8{Jeffrey Baker,Jason Wright,William Roberts,David Scott,Ryan Reed,Larry Roberts,Nicholas Turner,Ronald Roberts,Ryan Green,Kevin Cooper}$David Morris|Jeffrey Bailey|William Morris|Edward Edwards|Brian Perez|Ronald Black|Jason Sanchez|Edward Hill
Thomas Rivera$Ironfen Family$Paul Lopez                                       $2{Timothy Howard,Gary Harris,Eric Parker,Thomas Morris,Ronald Roberts,Jason Phillips,William Adams,Kevin Cooper,Nicholas Morris,Joseph Cooper,Donald Baker,Stephen Rogers,Daniel Miller}$Brandon Nelson|Kevin Perez|Steven Roberts|Daniel Black|James Walker|Paul Rogers|Jason Edwards|Ronald Black|Larry Roberts|Anthony Young|Joseph Perez|Jeffrey Baker|Larry Stewart
Nicholas Lopez$Grimwald Family$Matthew Carter                                   $3{Gary Murphy,Brandon Scott,Stephen White,Michael Campbell,Brandon Nelson,Daniel Green,David Morris,Donald Baker,Kevin Cooper}$Nicholas Turner|Michael Howard|Jason Edwards|Michael Miller|Edward Bailey|Steven Roberts|Justin Young|Joshua Bailey|Jeffrey Roberts|Paul Walker|Daniel Miller|David Scott|Jacob Morris|Steven Adams|Larry Stewart
Edward Green$Ruinfen Family$Kevin Cooper                                     $1{Mark Carter,Robert Rogers,Timothy Howard,David Morris,Joseph Cooper,Nicholas Lopez,Brandon Nelson,Joshua Scott,James Turner,Thomas Morris,Scott Adams,Gary Harris,Gary Campbell}$Kenneth Evans|Ronald Mitchell|Jason Edwards|Daniel Black|Paul Rogers|Edward Bailey|Nicholas Morris|Michael Miller|Benjamin Bell|Kevin Cooper|Joseph Reed|Donald Morris|Ronald Collins|James Cook
Jeffrey Bailey$Bleakspire Family$Kevin Cooper                                     $4{Nicholas Morris,George Black,Jason Phillips,Joseph Reed,Paul Rogers}$Mark Carter|Timothy Morgan|Benjamin Bell|Stephen Rogers|Edward Hill|Anthony Young|Ronald Stewart|Scott Cook|Jason Sanchez|Robert Rogers|Steven Adams
Robert Rogers$Gravemoor Family$Jeffrey Roberts                                  $2{William Roberts,Michael Miller,Stephen Howard,Jeffrey Bailey,Jason Sanchez}$Thomas Rivera|Brian Sanchez|Gary Murphy|Timothy Morgan|Justin Turner
Nicholas Turner$Dreadmoor Family$Charles Phillips                                 $4{Jason Phillips,Jason Wright,Scott Cook,Jeffrey Baker,Scott Adams,Ronald Roberts,Mark Cooper,Joshua White}$Donald Morris|William Morris|Stephen White|David Scott|William Roberts|Ronald Mitchell|Charles Phillips|Michael Howard|Michael Campbell|David Black
Brian Morris$Redfen Family$Ryan Green                                       $3{Edward Edwards,David Black,Paul Lopez,Scott Walker,Jason Turner}$Timothy Howard|Benjamin Carter|James Cook|Brandon Scott|William Adams|Donald Baker|Gary Harris
Scott Walker$Duskborne Family$Kenneth Evans                                    $7{Edward Edwards,Benjamin Bell,Steven Adams,Brian Perez,Robert Reed,Edward Hill,Daniel Bell,Jason Phillips,Brian Sanchez,Ronald Stewart,James Cook,Daniel Green,Paul Lopez,Michael Sanchez,Matthew Carter}$Kenneth Evans|Nicholas Turner|Jonathan Turner|Edward Bailey|Brian Adams|Mark Cooper|Timothy Morgan|Paul Walker|Scott Adams|William Adams|Joseph Perez|David Morris|Stephen Hill
Michael Howard$Frostscar Family$Stephen Howard                                   $5{Michael Cooper,Nicholas Morris,Daniel Miller,Brandon Scott,Timothy Morgan,Brian Adams,Michael Miller,Benjamin Bell,Joshua White}$Mark Murphy|Stephen White|Jason Phillips|Timothy Hill|Edward Edwards|Steven Adams|Stephen Rogers|Joseph Perez|Ronald Mitchell
Mark Carter$Deadfen Family$Jason Edwards                                    $0{Jonathan Turner,Mark Cooper,Larry Stewart,Paul Lopez,David Scott,Michael Cooper,Ronald Mitchell,Scott Adams,Scott Cook,Edward Bailey,Joshua White}$Michael Sanchez|Kenneth Evans|Stephen Hill|Stephen Howard|William Roberts|David Morris|Donald Morris|Brandon Nelson|Edward Hill|Eric Parker|Steven Adams|Daniel Bell|Daniel Green|Jason Phillips|Ronald Roberts
Ronald Stewart$Crowridge Family$Brian Morris                                     $5{Jason Turner,Kevin Cooper,Justin Young,David Scott,Larry Stewart,James Cook,Nicholas Turner}$Jeffrey Baker|Timothy Howard|Scott Cook|Thomas Roberts|Matthew Carter|Joseph Cooper|Joshua White|Gary Campbell|Jason Wright|Mark Carter|Jonathan Turner
Jason Phillips$Nightfall Family II$Jeffrey Roberts                                  $6{Ronald Collins,Ronald Mitchell,Larry Roberts,Anthony Young,Jeffrey Baker,Edward Bailey,Thomas Rivera,Scott Walker,Ronald Roberts,Brian Sanchez,Kevin Perez,Paul Rogers,Jason Turner,Benjamin Carter,Joseph Perez,Michael Sanchez,Robert Reed,Paul Walker}$Justin Young|Daniel Adams|Nicholas Morris|Larry Stewart|Joshua Scott|Daniel Roberts|Eric Miller|Paul Lopez|Richard Baker
Joseph Perez$Nightspire Family II$Gary Murphy                                      $3{James Walker,Jason Sanchez,Stephen Hill,George Black,Justin Young,Jason Edwards,Brandon White,Mark Murphy,Jeffrey Roberts,Jeffrey Bailey,Timothy Hill,Paul Lopez,Nicholas Morris,Edward Bailey,Stephen Rogers}$Daniel Adams|Jonathan Carter|Nicholas Turner|Jason Wright|Robert Rogers|Michael Cooper|Steven Roberts|Justin Turner|Thomas Morris|Jeffrey Baker|Steven Adams|Scott Adams|Benjamin Bell
Charles Phillips$Grimscar Family$Jason Phillips                                   $5{Thomas Roberts,Joshua Scott,David Scott,Jason Sanchez,Daniel Miller,Jason Wright,Paul Rogers,Stephen Rogers,Edward Green,Mark Murphy,Paul Walker,Edward Edwards,Mark Carter}$Ronald Black|Scott Walker|Timothy Hill|Scott Cook|Joshua Bailey|Michael Howard|Robert Rogers|Richard Baker|Justin Turner
Gary Campbell$Ashenrow Family$Jason Edwards                                    $4{Ryan Green,Jeffrey Bailey,Nicholas Turner,Timothy Howard,Jason Sanchez,Brandon Nelson,Mark Carter,Mark Murphy,Brian Sanchez,Joshua Bailey,David Scott,Jeffrey Roberts,Kevin Cooper,Michael Howard,Stephen White,Gary Harris,Thomas Morris}$Eric Perez|Timothy Hill|William Morris
Brandon White$Wraithwick Family$Jonathan Turner                                  $0{Timothy Morgan,Thomas Morris,Robert Rogers,Richard Baker,Daniel Roberts,Jason Wright,Charles Phillips}$Daniel Bell|Justin Young|Thomas Rivera|Nicholas Lopez|Ronald Stewart|Mark Carter|Benjamin Carter|David Black|Timothy Howard|Joseph Reed|Andrew Harris
Michael Sanchez$Bloodwick Family$Paul Walker                                      $3{Stephen Hill,Brian Morris,Steven Adams}$George Black|William Adams|Joseph Cooper|Nicholas Morris|Jeffrey Bailey|Steven Roberts|David Adams|Daniel Green|Jason Phillips|Daniel Roberts|Joshua Bailey|David Scott|Scott Adams|Brian Sanchez|Joseph Perez|Michael Howard|Michael Miller|Robert Rogers|Gary Campbell
George Black$Ashwick Family$Donald Baker                                     $8{David Scott,Paul Walker,Joseph Perez,Richard Baker,Ryan Reed,Charles Phillips,Justin Turner,Jason Sanchez,Stephen Hill,Mark Carter,Matthew Carter,James Walker,Daniel Miller,Larry Roberts,William Roberts,Brian Adams,Steven Roberts}$Kevin Perez|James Cook|Ryan Green|Edward Edwards|David Morris|Brian Morris|Brian Perez|Paul Rogers|Gary Harris|Scott Walker|Daniel Green|Benjamin Bell|Larry Stewart|Joseph Cooper|Michael Howard|Daniel Black
Paul Lopez$Ashenmere Family$Larry Stewart                                    $8{Nicholas Turner,Joseph Reed,Andrew Harris,Mark Murphy,Ronald Black,Jason Wright,Michael Campbell,Thomas Rivera,Edward Edwards,George Black,Paul Rogers,Joshua White,Anthony Young,Jason Edwards,Richard Baker}$Timothy Morgan|Benjamin Bell
James Cook$Rotmoor Family$Richard Baker                                    $3{Brian Perez,Kevin Cooper,Jacob Morris,Stephen White,Kenneth Lopez,Scott Cook,Brian Morris,Benjamin Carter,Ronald Stewart,Jonathan Turner,Joshua Bailey,Eric Perez,Jonathan Carter,David Scott,Kenneth Evans,Benjamin Bell,Thomas Roberts,Gary Murphy,Stephen Hill}$Ryan Green|Timothy Hill|Eric Parker|Michael Cooper|Edward Green|David Morris|Ryan Reed|Brian Sanchez|Jason Sanchez|Gary Harris|Richard Baker|Joseph Cooper
Daniel Roberts$Fangholt Family$Ronald Black                                     $1{Daniel Black,Kenneth Evans,Robert Reed,Donald Baker,Mark Carter,James Walker,Gary Harris,Edward Green,David Morris}$Justin Turner|Brian Morris|David Scott|Daniel Green|Justin Young|Larry Roberts|Daniel Adams|Jonathan Turner|Nicholas Lopez|Jason Turner|Jeffrey Baker|Michael Sanchez|Donald Morris
Justin Young$Hollowmark Family$Eric Perez                                       $5{Robert Rogers,Michael Miller,Edward Green,Larry Stewart,Ronald Collins,Jeffrey Bailey,Charles Phillips}$Nicholas Turner|Eric Perez|Robert Reed|Daniel Bell|Mark Cooper|William Roberts|Joseph Reed|Scott Walker|Jeffrey Baker
Jonathan Turner$Wraithfall Family II$Robert Reed                                      $0{Matthew Carter,Jeffrey Baker,Benjamin Bell,Donald Morris,Nicholas Turner,Joseph Cooper,James Cook,William Adams,Stephen White,Timothy Howard,Nicholas Lopez,Larry Roberts,Larry Stewart,Jason Phillips,Edward Hill,Thomas Roberts}$Michael Howard|Brian Sanchez|Benjamin Carter|Jason Turner|Kevin Perez|Eric Miller|Charles Phillips|Justin Young|Mark Carter|Edward Green|Paul Lopez|Daniel Adams|Edward Edwards|Michael Miller|Paul Walker|Timothy Morgan
David Scott$Cindermoor Family$Brian Sanchez                                    $1{Joseph Perez,David Adams,Daniel Bell,Benjamin Carter,Steven Adams,Daniel Adams,George Black,Timothy Hill,Jason Turner,Joshua Scott,Justin Young,Joshua Bailey,Scott Walker,Brian Perez,Gary Harris}$Justin Turner|Nicholas Lopez|Stephen Hill|Kenneth Evans|Scott Cook|Stephen White|Gary Murphy|Brandon Scott|Edward Hill|Donald Morris|Thomas Morris|Anthony Young|Jason Phillips|Nicholas Turner|Brandon Nelson|James Turner|Richard Baker|Kevin Perez
Ronald Collins$Frostfen Family$Stephen Rogers                                   $1{Brandon Scott,Thomas Morris,Justin Young,Scott Adams,Kevin Perez,Kevin Cooper,Daniel Roberts,Jeffrey Bailey}$Michael Howard|Nicholas Turner|Joshua White
Joshua White$Stormspire Family$Joseph Perez                                     $0{Gary Murphy,Scott Adams,Jonathan Turner,Jason Phillips,Brandon Nelson,Edward Bailey,Thomas Rivera,Ronald Roberts,Paul Walker,Kevin Cooper,Michael Miller,Brandon White}$Ronald Stewart|David Scott|Charles Phillips|Edward Hill|Brian Adams|Justin Turner|Richard Baker|Joseph Perez|Gary Campbell|Kenneth Evans|Nicholas Turner|Jeffrey Baker|James Walker|Robert Reed|Jason Edwards
Robert Reed$Ashenrow Family$Nicholas Lopez                                   $0{Daniel Green,George Black,Jeffrey Baker,Jason Edwards,Nicholas Morris,William Morris,Daniel Bell,Matthew Carter,Larry Roberts}$Daniel Black|Eric Miller|Paul Rogers|Ronald Collins|Ronald Mitchell|Eric Parker|Mark Cooper|Jason Sanchez|Edward Green|Steven Roberts|Joshua Scott|Gary Murphy|Michael Sanchez
Ronald Mitchell$Darkfen Family$Joseph Perez                                     $3{Scott Walker,Joshua Bailey,Justin Turner,Timothy Morgan,Brian Morris,Gary Campbell,Jacob Morris,Nicholas Turner,Michael Miller}$Eric Miller|Daniel Black|Paul Lopez|Scott Cook|Edward Bailey|David Black|Donald Morris|Stephen Hill|Jason Phillips|Gary Murphy|Paul Walker|Richard Baker|Jason Edwards|David Adams|Kenneth Evans|Thomas Roberts|Robert Rogers|Stephen Howard
Stephen Rogers$Nightwick Family$Kenneth Lopez                                    $2{Kevin Perez,Scott Cook,Joshua White,Scott Adams,Brandon Scott,Thomas Morris,Scott Walker,Joseph Cooper,Robert Rogers,Ronald Mitchell}$Charles Phillips|Timothy Hill|Richard Baker|Thomas Roberts|Jacob Morris
Michael Miller$Nightwick Family$Eric Parker                                      $4{Donald Baker,Daniel Roberts,Nicholas Lopez,Paul Walker,Michael Cooper,Gary Harris,Larry Stewart}$Steven Adams|George Black|Ronald Mitchell|Brandon White|Jeffrey Bailey|Edward Green|Nicholas Turner|David Scott|Ronald Black|Gary Murphy|Donald Morris|Timothy Hill|David Black|Jason Edwards|Stephen Hill|Ronald Roberts|Michael Campbell
Paul Rogers$Dreadmoor Family$Timothy Howard                                   $0{Michael Howard,Mark Murphy,Kenneth Evans,Charles Phillips,Jonathan Turner}$Thomas Morris|William Roberts|Joshua Scott|Eric Miller|David Scott|Jeffrey Baker|Jason Phillips
Michael Cooper$Darkfen Family II$Charles Phillips                                 $4{Daniel Bell,Brian Perez,Larry Stewart,Larry Roberts}$Joshua Bailey|Brandon Scott|Eric Miller|Edward Hill|Steven Adams|Nicholas Lopez|Brian Sanchez|Ryan Green|Nicholas Morris|Mark Cooper|Paul Walker|Jacob Morris
Daniel Miller$Darkshade Family$Brandon Nelson                                   $7{Daniel Green,Stephen Rogers}$Eric Perez|Gary Murphy|Eric Miller|Scott Cook|Edward Edwards|Joshua Bailey|Brian Sanchez|Daniel Bell|Larry Roberts|Justin Turner|James Turner|Jason Wright
Brian Adams$Cinderspire Family$William Morris                                   $1{Larry Stewart,Jason Sanchez,Brandon White,Gary Murphy,Anthony Young}$Daniel Roberts|Jacob Morris|Timothy Morgan|Joshua White|Joseph Perez|David Scott|Gary Harris|Mark Murphy|Nicholas Morris|Brian Sanchez|Donald Morris
William Roberts$Blackwick Family$Michael Miller                                   $7{Jacob Morris,Thomas Rivera,Gary Campbell,Thomas Roberts}$Paul Walker|Michael Sanchez|Robert Reed|Eric Parker|Robert Rogers|Timothy Morgan
Edward Bailey$Bleakspire Family$Jeffrey Roberts                                  $8{Stephen Rogers,Benjamin Bell,Scott Walker,Justin Turner,Michael Howard,William Morris,Timothy Howard,Ronald Roberts,Ronald Collins,Eric Miller,Thomas Roberts,Nicholas Turner,Jason Sanchez,Ryan Green,Mark Carter,Edward Edwards,Thomas Morris,Richard Baker,Stephen Howard}$Robert Reed|Joshua Bailey|Robert Rogers|Ronald Black|Mark Murphy|Scott Cook
Matthew Carter$Grimwick Family$David Scott                                      $5{Ryan Reed,Gary Murphy,Stephen Howard,Michael Howard,David Morris,Anthony Young,Brian Adams,Scott Cook,Edward Hill,Steven Roberts,Michael Campbell,Paul Walker,Michael Sanchez,Benjamin Carter,Joshua White,Daniel Bell,Joseph Reed,David Black,Timothy Morgan}$Mark Carter|Edward Bailey|Mark Cooper|Nicholas Turner
Steven Adams$Wraithfall Family$Gary Campbell                                    $8{David Black,Kenneth Lopez,Brandon Nelson,Eric Parker,William Roberts,Stephen Howard,Kenneth Evans,Kevin Perez,James Turner,Ryan Green}$Mark Cooper|Ronald Roberts|Brian Morris|Donald Morris|Justin Young|Jeffrey Bailey|Brian Sanchez|Edward Bailey|Gary Murphy|Benjamin Carter|Eric Perez|Daniel Bell|Joshua Bailey|David Morris|Robert Rogers|Nicholas Turner
Thomas Roberts$Dreadspire Family$Larry Roberts                                    $6{David Morris,Jason Sanchez,James Turner,Stephen White,Eric Perez,Jacob Morris,Nicholas Morris,Robert Reed,Edward Edwards,Gary Campbell,David Black,Jason Edwards,Eric Parker,Stephen Hill,Ronald Collins,Brian Sanchez,Edward Green,Paul Rogers,Paul Lopez}$Kevin Cooper|Michael Sanchez|Nicholas Turner|Daniel Green|James Walker|Daniel Miller|Edward Hill|Ronald Black|Mark Cooper|Joshua Bailey|Timothy Morgan|Jeffrey Baker|Jason Wright|Brandon Scott|Kevin Perez|Gary Murphy|Ryan Reed|Brian Perez|Kenneth Lopez
Timothy Hill$Wraithfall Family II$Paul Rogers                                      $8{Joshua White,George Black,Paul Walker,Mark Carter,Daniel Green,Jeffrey Bailey,Thomas Rivera,Ronald Roberts,Ronald Mitchell,Eric Parker,Mark Cooper,Michael Miller,William Adams,Robert Rogers,Jason Edwards,Benjamin Carter,Scott Adams}$Timothy Howard|Stephen Hill
Donald Morris$Blackmoor Family II$Brandon Nelson                                   $8{Timothy Howard,Joseph Reed,Daniel Roberts,Paul Walker,Nicholas Lopez,Edward Edwards,Michael Sanchez,David Morris,Joshua Scott,Gary Murphy,Kenneth Evans}$Daniel Green|Edward Bailey|Steven Adams|Justin Turner|Stephen Hill|Jason Phillips|David Adams|Michael Cooper|Steven Roberts|Matthew Carter|Kenneth Lopez|Gary Harris
Kevin Perez$Blackspire Family II$Joshua Scott                                     $0{Benjamin Bell,Eric Parker,Ronald Mitchell,Mark Cooper,Charles Phillips,Jeffrey Roberts,Michael Miller,Joshua White,Stephen White,Edward Edwards}$Justin Turner|Mark Carter|Larry Roberts|Thomas Rivera|Larry Stewart|Eric Miller|William Roberts|Daniel Black
Edward Edwards$Ashenspire Family$Jonathan Turner                                  $3{Brian Sanchez,Mark Cooper,Eric Parker,Brandon Nelson,Joshua Scott,Brian Perez,Paul Walker,Kevin Perez,Jason Turner}$Ronald Stewart|Mark Murphy
Jason Edwards$Coldmoor Family$Brandon Nelson                                   $0{Eric Perez,George Black,Ronald Collins,Anthony Young,Daniel Green}$Ryan Green|Stephen White|Stephen Howard|Jonathan Turner|Kenneth Evans
Andrew Harris$Crowfall Family$Kenneth Lopez                                    $3{Scott Walker,Joshua White,Kevin Perez,Brian Perez,Timothy Hill,Donald Baker,Scott Cook}$Ryan Reed|David Black|James Cook|William Morris|Justin Young|William Adams|Brandon Scott|Kenneth Evans|Ronald Roberts|Nicholas Lopez|Joseph Perez
Kenneth Lopez$Wraithfen Family$Brandon White                                    $8{George Black,Stephen White,Ronald Mitchell,Ryan Green,Joseph Cooper,Daniel Roberts,Joshua Scott,Thomas Rivera,Richard Baker,Daniel Black,Paul Walker,Kevin Cooper,Edward Hill,Timothy Morgan,James Cook,Steven Adams}$Jeffrey Baker|Matthew Carter|Paul Lopez
Edward Hill$Stormshade Family$Larry Roberts                                    $1{Scott Cook,Steven Roberts,Jason Wright,Benjamin Bell,Charles Phillips,Edward Edwards,Timothy Morgan,Michael Cooper,Ronald Mitchell,Ronald Collins,Michael Miller,Joshua Bailey,Joshua White,Scott Walker,Stephen Hill}$Justin Young|Daniel Adams|Jason Edwards|Daniel Green|Steven Adams|Jeffrey Roberts|Joseph Reed|Andrew Harris|Kenneth Lopez|Timothy Hill|Brian Sanchez|Larry Roberts|Kevin Perez
